B,Li1Cs,Li2Cs,Li3Cs
832.7799999999702,141.40026201742,1.959480519424,-11.909339937734
832.7999999999702,141.72868097274,1.9713976234654,-11.905808848129
832.8199999999702,142.05837831977,1.9833208776011,-11.902276112878
832.8399999999701,142.38936078321,1.9952501048541,-11.898741798731
832.8599999999701,142.72163649295,2.0071855604551,-11.895205842969
832.8799999999701,143.05521246094,2.0191269661707,-11.891668254252
832.8999999999701,143.3900969477,2.0310746901751,-11.888128999196
832.9199999999701,143.72629743232,2.0430283824208,-11.884588169731
832.93999999997,144.06382177772,2.05498835243,-11.881045651598
832.95999999997,144.40267732464,2.0669543699641,-11.877501540073
832.97999999997,144.74287317789,2.078926540224,-11.873955753262
832.99999999997,145.08441552443,2.0909050802301,-11.870408368014
833.01999999997,145.42731427786,2.102889725638,-11.866859287118
833.03999999997,145.77157639867,2.1148806754455,-11.863308623498
833.0599999999699,146.11721022367,2.1268777840708,-11.859756259729
833.0799999999699,146.46422476966,2.1388811718299,-11.85620230712
833.0999999999699,146.8126267917,2.1508908436933,-11.852646698405
833.1199999999699,147.16242552285,2.1629067678749,-11.84908943437
833.1399999999699,147.51362977206,2.1749290601011,-11.845530487283
833.1599999999698,147.86624750487,2.1869576191403,-11.841969903835
833.1799999999698,148.22028749427,2.1989925750633,-11.838407674752
833.1999999999698,148.5757577384,2.2110338739284,-11.834843797945
833.2199999999698,148.93266779511,2.2230814417088,-11.831278267401
833.2399999999698,149.29102609304,2.2351354515905,-11.827711059167
833.2599999999698,149.650842086,2.2471958997399,-11.824142185876
833.2799999999697,150.01212364497,2.2592626148108,-11.820571706579
833.2999999999697,150.37488057906,2.271335904185,-11.816999511599
833.3199999999697,150.73912083266,2.2834155504281,-11.813425682569
833.3399999999697,151.10485544447,2.2955016764681,-11.809850135747
833.3599999999697,151.47209131351,2.3075942529147,-11.806272969772
833.3799999999696,151.84083969243,2.319693267992,-11.802694107929
833.3999999999696,152.21110876763,2.3317988574455,-11.799113605195
833.4199999999696,152.58290903681,2.3439108474158,-11.795531421777
833.4399999999696,152.95624876922,2.3560295348624,-11.791947568344
833.4599999999696,153.33113838152,2.3681546919606,-11.788362012593
833.4799999999696,153.70758718977,2.3802862990462,-11.784774784225
833.4999999999695,154.08560520787,2.3924245565141,-11.781185878447
833.5199999999695,154.46520212475,2.4045694340589,-11.777595295741
833.5399999999695,154.84638799647,2.4167208480661,-11.774003019438
833.5599999999695,155.22917298376,2.4288789487075,-11.770409093869
833.5799999999695,155.61356666757,2.4410436625932,-11.766813448429
833.5999999999694,155.99957970085,2.4532149562887,-11.763216132646
833.6199999999694,156.38722180946,2.4653929354371,-11.759617139533
833.6399999999694,156.77650480611,2.4775775384647,-11.756016418308
833.6599999999694,157.16743707402,2.4897689174015,-11.752414027435
833.6799999999694,157.56003008688,2.5019668391018,-11.748809986917
833.6999999999694,157.95429507686,2.5141716298903,-11.745204138241
833.7199999999693,158.3502414683,2.5263831161505,-11.741596646696
833.7399999999693,158.7478809848,2.5386013554294,-11.737987516491
833.7599999999693,159.14722453666,2.5508263777758,-11.73437663044
833.7799999999693,159.54828292062,2.5630580692145,-11.730764077739
833.7999999999693,159.95106644643,2.575296644666,-11.7271497602
833.8199999999692,160.35558771484,2.5875419135507,-11.723533761986
833.8399999999692,160.76185742749,2.599794016166,-11.719916098113
833.8599999999692,161.16988634245,2.6120531413797,-11.716296680507
833.8799999999692,161.57968604739,2.6243189434517,-11.712675562277
833.8999999999692,161.99126912611,2.6365915969814,-11.70905274304
833.9199999999691,162.40464682166,2.6488704231318,-11.705428208969
833.9399999999691,162.81983047661,2.6611575947428,-11.701801913211
833.9599999999691,163.23683199535,2.673450936064,-11.698173968426
833.9799999999691,163.65566361084,2.6857513360828,-11.694544251599
833.9999999999691,164.07633708306,2.6980584343106,-11.690912867928
834.0199999999691,164.49886568929,2.7103728824674,-11.687279705386
834.039999999969,164.92326065591,2.7226936248462,-11.683644819349
834.059999999969,165.34953406233,2.7350217640112,-11.680008264568
834.079999999969,165.77769981904,2.7473568926078,-11.676369910059
834.099999999969,166.20776930352,2.7596988302843,-11.672729892184
834.119999999969,166.6397556829,2.772047892937,-11.66908812505
834.139999999969,167.07367231204,2.7844040387458,-11.665444612776
834.1599999999689,167.5095307716,2.7967672375628,-11.661799294876
834.1799999999689,167.94734619262,2.8091374108239,-11.658152345708
834.1999999999689,168.38713006017,2.8215147070886,-11.654503619713
834.2199999999689,168.82889684387,2.833899056311,-11.650853089655
834.2399999999689,169.27265930711,2.8462905558309,-11.647200975757
834.2599999999688,169.71843077816,2.8586891050485,-11.643546962791
834.2799999999688,170.16622518734,2.8710948472578,-11.639891289617
834.2999999999688,170.61605740725,2.8835076593578,-11.636233831672
